"Part";"Value";"Device";"Package";"Description";"";
"C1";"1uF";"RF-C0603";"C0603";"RF capacitor pads for FSL reference design";"";
"C2";"10pF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"C3";"680pF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"C4";"47pF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"C5";"100pF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"C6";"1uF";"RF-C0603";"C0603";"RF capacitor pads for FSL reference design";"";
"C7";"47uF";"RF-C1210";"C1210K";"RF capacitor pads for FSL reference design";"";
"C8";"100pF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"C9";"47uF";"RF-C1210";"C1210K";"RF capacitor pads for FSL reference design";"";
"C10";"1uF";"RF-C0603";"C0603";"RF capacitor pads for FSL reference design";"";
"C11";"0.1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"C12";"0.1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"C13";"0.1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"C14";"0.1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"C15";"0.1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"C16";"0.1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"D1";"";"DIODESOD-123";"SOD-123";"Diode";"";
"IC1";"";"NCP1117ST33T3G_1";"SOT223";"VOLTAGE REGULATOR";"";
"JP1";"";"M02POGO_PIN_HOLES_ONLY";"1X02_PP_HOLES_ONLY";"Header 2";"";
"JP2";"";"M02POGO_PIN_HOLES_ONLY";"1X02_PP_HOLES_ONLY";"Header 2";"";
"POSCON";"RJ45-8SOLDERMOUNT";"RJ45-8SOLDERMOUNT";"RJLSE4208101T";"RJ45 Jack";"";
"R1";"1M";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R2";"33k";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R3";"10k";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R4";"845k";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R5";"158k";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R6";"133k";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R7";"1M";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R8";"42.2k";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R9";"1M";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R10";"";"RF-R2512";"R2512";"RF resistor pads for FSL reference design";"";
"R11";"";"RF-R2512";"R2512";"RF resistor pads for FSL reference design";"";
"R12";"10";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R13";"10";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R14";"10";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R15";"10";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R16";"3.3k";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"R17";"3.3k";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"SCANNER";"RJ45-8SOLDERMOUNT";"RJ45-8SOLDERMOUNT";"RJLSE4208101T";"RJ45 Jack";"";
"U$1";"";"RGLBED";"RGBLED";"";"";
"U$2";"SFV14R-2STE1HLF";"SFV14R-2STE1HLF";"SFV14R-2STE1HLF";"";"";
"U$3";"";"2X10JTAG";"2X10JTAG";"";"";
"U$4";"";"MIC94061C6";"SC70-6L";"";"";
"U$5";"";"MIC94061C6";"SC70-6L";"";"";
"U$6";"10k";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"U$7";"0.1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"U$8";"";"WS2801";"SO14";"";"";
"U$9";"";"BARREL_CUI_PJ-002A";"BARREL_CUI_PJ-002A";"";"";
"U$10";"DF12_FOLD";"DF12_FOLD";"BRAIN_OLD";"";"";
"U$11";"1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"U$12";"1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"U$14";"SFV14R-2STE1HLF";"SFV14R-2STE1HLF";"SFV14R-2STE1HLF";"";"";
"U$15";"744311470S";"744311470S";"IHLP4040DZ";"";"";
"U$16";"120";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
"U$17";"1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";
"U$18";"24";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";
